"Protein","x"
"Q5ZED1","osa01100 osa01110 osa01212 osa01040 osa00062"
"Q5ZEN1","osa03013"
"Q60E59","osa03010"
"Q60E66","osa01100 osa00520 osa00561"
"Q60EA3","osa01100 osa00920"
"Q60EJ3","osa01100 osa01110 osa00130"
"Q60EM2","osa01100 osa00240"
"Q651F0","osa01100 osa01110 osa01230 osa00400"
"Q651T8","osa01100 osa00190 osa04145"
"Q652L6","osa01100 osa00053"
"Q652U4","osa00073"
"Q652U5","osa00073"
"Q652V8","osa04141"
"Q653V7","osa01100 osa01110 osa00500 osa00052"
"Q653V9","osa03010"
"Q654U5","osa04144"
"Q655Q2","osa01100 osa01110 osa00280 osa00640"
"Q655T1","osa01100 osa01110 osa01200 osa01230 osa00010 osa00710"
"Q655Y9","osa01100 osa01110 osa01200 osa00010 osa00710 osa00030 osa00051"
"Q656T5","osa01100 osa01200 osa00630 osa00650"
"Q658I3","osa02010"
"Q65WT5","osa03010"
"Q67IX6","osa04141"
"Q67UK9","osa01100 osa00480 osa00053"
"Q67UZ0","osa01100 osa00270"
"Q67W29","osa01100 osa01110 osa01230 osa00300 osa00261"
"Q67W57","osa01100 osa00190"
"Q67WR2","osa01100 osa00520 osa00051"
"Q67WR5","osa01100 osa00520 osa00051"
"Q688M5","osa01100 osa00520 osa04016"
"Q69K00","osa01100 osa01110 osa01200 osa01230 osa00010 osa00710 osa00051 osa00562"
"Q69N33","osa01100 osa01110 osa01200 osa00010 osa00620 osa00020"
"Q69P84","osa01100 osa01110 osa00010 osa00620 osa00260 osa00053 osa00071 osa00561 osa00280 osa00380 osa00410 osa00340 osa00330 osa00310"
"Q69Q32","osa03050"
"Q69QL4","osa01100 osa01110 osa00940"
"Q69QQ6","osa04141 osa04626"
"Q69QR6","osa00195"
"Q69QY4","osa04144"
"Q69S39","osa01100 osa00195"
"Q69UU3","osa01100 osa01110 osa01200 osa01230 osa00710 osa00630 osa00260 osa00250 osa01210 osa00220"
"Q69V57","osa01100 osa01110 osa01200 osa01230 osa00010 osa00710 osa00030 osa00051"
"Q69VT5","osa03013 osa03015"
"Q69WE3","osa01100 osa00190"
"Q69XJ4","osa01100 osa01110 osa00860"
"Q6ATB2","osa01100 osa00230"
"Q6ATS0","osa01100 osa01110 osa00860"
"Q6AUV1","osa01100 osa01110 osa00230 osa04146 osa00232"
"Q6AUZ6","osa00564"
"Q6AV57","osa01100 osa01110 osa00130"
"Q6AVA8","osa01100 osa01200 osa00710 osa00620"
"Q6AVE6","osa03040"
"Q6AVG6","osa01100 osa01110 osa00900"
"Q6AVT2","osa01100 osa01110 osa00500 osa00520"
"Q6EPN8","osa01110 osa00900"
"Q6EPQ1","osa01100 osa01110 osa00520"
"Q6ER49","osa01100 osa01110 osa00940"
"Q6ER90","osa00970"
"Q6ERL4","osa01100 osa00730 osa04122"
"Q6ERW9","osa01100 osa01110 osa00940"
"Q6ESJ0","osa01100 osa00480 osa00590"
"Q6ETN3","osa01100 osa01110 osa00940 osa00130"
"Q6EUD4","osa04146"
"Q6EUD5","osa03040"
"Q6EUD7","osa01100 osa01200 osa00710 osa00620"
"Q6EUK2","osa03040"
"Q6EUQ9","osa01100 osa00190 osa04145"
"Q6EUS1","osa01100 osa01110 osa00940"
"Q6F322","osa01100 osa00310"
"Q6F361","osa01100 osa01110 osa01200 osa00710 osa00620 osa00630 osa00020 osa00270"
"Q6F3B0","osa04141"
"Q6H443","osa03013 osa03018 osa03015"
"Q6H4P7","osa00970"
"Q6H4V1","osa01100 osa00130 osa00350 osa00360"
"Q6H6B9","osa01100 osa01110 osa00562 osa04070"
"Q6H6C7","osa01100 osa01110 osa01200 osa01230 osa00010 osa00710"
"Q6H6D2","osa01100 osa01110 osa00860"
"Q6H748","osa01100 osa00196"
"Q6H7M1","osa01100 osa00350"
"Q6H7Q6","osa01100 osa01110 osa00592 osa00591"
"Q6H8H3","osa03010"
"Q6IVC3","osa04075"
"Q6K1T2","osa00970"
"Q6K1W6","osa03010"
"Q6K241","osa03010"
"Q6K272","osa03018"
"Q6K2P3","osa01100 osa01110 osa00010"
"Q6K4J4","osa01100 osa01110 osa00940"
"Q6K4K9","osa03015"
"Q6K4P1","osa03013"
"Q6K4T1","osa03010"
"Q6K5R6","osa03010"
"Q6K667","osa03010"
"Q6K6A4","osa01100 osa00190"
"Q6K7A3","osa04626"
"Q6K7Q7","osa03040"
"Q6K853","osa03010"
"Q6K8J4","osa01100 osa01110 osa00900"
"Q6K959","osa01100 osa00513 osa00510"
"Q6K9C3","osa03040"
"Q6KA00","osa03010"
"Q6L4H5","osa01100 osa01110 osa01230 osa00260 osa00750"
"Q6L4R5","osa01100 osa00190 osa04145"
"Q6L4S0","osa03420 osa04120"
"Q6L4W7","osa01100 osa00190"
"Q6L506","osa01100 osa01110 osa00740 osa00790"
"Q6L509","osa04141 osa03040 osa04144"
"Q6L510","osa03010"
"Q6PL11","osa04141 osa04120"
"Q6V9T1","osa01100 osa01110 osa01200 osa00630 osa00260"
"Q6YS69","osa03013"
"Q6YSX0","osa03010"
"Q6YT00","osa03050"
"Q6YT73","osa01100 osa01110 osa01200 osa00630 osa04146"
"Q6YTT3","osa01100 osa01110 osa01230 osa00400"
"Q6YU78","osa03040"
"Q6YU90","osa01100 osa01110 osa01200 osa00630 osa00260"
"Q6YWJ7","osa01100 osa00196"
"Q6YX33","osa03015"
"Q6YXG8","osa01100 osa01110 osa00230"
