Uniprot,Means.2Moderate,Means.3Extreme,Means.4Recovery,Means.5ControlA
Q7XK23,0.01310408,0.022227429,0.00655863,0.011601523
Q6ZIT3,0.031964686,0.16503345,0.040871048,0.031529779
Q6Z5Z5,0.008111058,-0.002283269,0.031409682,0.013711767
Q6YZN2,-0.002614296,0.044948258,-0.002612728,0.023861916
B9FYY9,-0.003777039,-0.036712737,0.005826113,0.023190161
Q6ZDL1,0.00671132,0.040870119,0.000470254,-0.018405386
Q7XPY3,-0.011341483,-0.016432069,-0.025191085,-0.012376823
Q7XMG7,0.073897598,0.053283523,0.165752248,0.091338421
Q0ILF8,-0.08173631,0.058261679,-0.031626939,-0.065986879
Q6Z3N3,0.022839873,0.041376053,0.032428352,0.024080248
Q0DQZ8,0.004840411,-0.102609923,-0.118060659,-0.370501437
B9FBU4,0.007577673,0.054399399,-0.026743869,0.029012837
Q10EI6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q75H81,-0.02150248,0.068961193,-0.00867267,0.010101146
Q2QVN9,0.047468894,0.025426711,0.055354369,0.019528
Q75LI9,-0.010261885,-0.113387603,0.003752476,-0.018782105
Q6ZG91,0.006714197,-0.020216547,0.023764058,0.000476821
Q6ZG86,0.012609778,0.013839349,0.007455301,0.022378385
P52428,-0.030183956,0.034561869,-0.042559371,-0.005137704
Q6YUR8,-0.0228695,0.037473841,-0.028996956,0.028692872
Q0E4R7,-0.011671269,0.025823854,0.014243038,-0.003345904
Q6ZFJ3,0.007671274,-0.106376723,-0.004786121,-0.01870072
Q6Z720,-0.027669852,-0.023185298,-0.023335083,-0.018015716
Q0E4D9,0.003113402,0.065936456,0.018500804,0.00433737
Q6Z2L5,0.003193046,0.028119073,-0.000745022,0.000429356
Q75L77,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q75GR8,-0.001274185,-0.008934571,0.003158714,0.017591323
Q75HI6,-0.024069635,-0.048522982,-0.04610297,-0.048043591
Q75IA5,-0.029466403,-0.062792736,-0.001453002,-0.01327441
Q76E42,-0.033741014,-0.051792157,-0.051354102,-0.027163866
Q6YSZ6,-0.047457015,-0.069466813,0.030530802,-0.074355676
Q6ZJ52,-0.021578492,0.00503325,0.271317429,-0.371878864
Q6ZJ20,0.009857854,0.008390923,-0.013695022,0.009977429
Q6ZJ15,-0.044626637,-0.162537751,-0.038434844,-0.042310473
