"Protein","x"
"P56931","mmu04110 mmu05161 mmu05166 mmu05200 mmu05206 mmu05212 mmu05214 mmu05215 mmu05218 mmu05219 mmu05220 mmu05222 mmu05223"
"O35261","mmu04110 mmu05161 mmu05166 mmu05200 mmu05206 mmu05212 mmu05214 mmu05215 mmu05218 mmu05219 mmu05220 mmu05222 mmu05223"
"Q8R0K9","mmu04110 mmu04350"
"Q61502","mmu04110 mmu04350"
"Q8VDK3","mmu04917"
"Q9QZH6","mmu04010"
"Q8BYW9","mmu00514"
"Q9WVK4","mmu04144"
"Q8BH64","mmu04144"
"Q9QXY6","mmu04144"
"Q9EQP2","mmu04144"
"P70372","mmu04152"
"P41969","mmu04010 mmu04012 mmu04014 mmu04510 mmu04910 mmu04912 mmu04921 mmu05020 mmu05140 mmu05161 mmu05166 mmu05205 mmu05213"
"P41158","mmu04010 mmu05166 mmu05202"
"Q99MI1","mmu04064"
"Q8BHI7","mmu00062 mmu01040 mmu01212"
"Q920L5","mmu00062 mmu01040 mmu01212"
"Q9D2Y9","mmu00062"
"O35130","mmu03008"
"Q925U4","mmu04141"
"Q8BJT9","mmu04141"
"Q2HXL6","mmu04141"
"Q8R180","mmu04141"
"Q8R2E9","mmu04141"
"P97767","mmu05202"
"Q60750","mmu04360"
"Q03145","mmu04014 mmu04015 mmu04151 mmu04360"
"P29319","mmu04360"
"Q03137","mmu04360"
"Q60629","mmu04360"
"Q62413","mmu04360"
"Q61772","mmu04360"
"O09127","mmu04360"
"Q8CBF3","mmu04360"
"P54763","mmu04360"
"P54754","mmu04360"
"P54761","mmu04360"
"O08644","mmu04360"
"Q80TH2","mmu04621"
"Q61545","mmu05202"
"Q5SRY7","mmu04114 mmu04120 mmu04310 mmu04340 mmu04390 mmu04710"
"Q8VBV4","mmu04120"
"Q8BIA4","mmu04120"
"Q8C4V4","mmu04710"
"Q80UW2","mmu04120 mmu04141"
"Q9D2Y6","mmu04068"
"Q9CPU7","mmu04068"
"Q8CHQ0","mmu04120"
"Q8CDI2","mmu04114"
"Q7TSG3","mmu04114"
"Q9QZN4","mmu04141"
"O88792","mmu04514 mmu04530 mmu04670"
"Q69ZT1","mmu03460"
"P13346","mmu04380 mmu05030 mmu05031 mmu05034"
"P01101","mmu04010 mmu04024 mmu04380 mmu04620 mmu04660 mmu04662 mmu04668 mmu04713 mmu04725 mmu04728 mmu04915 mmu04917 mmu04921 mmu05031 mmu05132 mmu05133 mmu05140 mmu05142 mmu05161 mmu05166 mmu05168 mmu05200 mmu05210 mmu05231 mmu05323"
"Q9CTH6","mmu03008"
"Q8C0V9","mmu04390"
"Q91VS8","mmu04015 mmu04520"
"Q8QZW2","mmu05202"
"P14234","mmu04062"
"Q9D824","mmu03015"
"P30416","mmu04915"
"Q64378","mmu04915"
"P35969","mmu04014 mmu04015 mmu04066 mmu04151 mmu04510 mmu05202 mmu05323"
"P49772","mmu04640 mmu05200"
"Q00342","mmu04640 mmu05200 mmu05202 mmu05221 mmu05230"
"P35917","mmu04014 mmu04015 mmu04151 mmu04510"
"Q9Z239","mmu04024"
"Q04646","mmu04022 mmu04024 mmu04260 mmu04261 mmu04911 mmu04918 mmu04919 mmu04960 mmu04961 mmu04964 mmu04970 mmu04972 mmu04973 mmu04974 mmu04976 mmu04978"
"Q9D2W0","mmu04960"
"O35601","mmu04015"
"P52734","mmu04810"
"O88842","mmu04810"
"A2ACJ2","mmu03460"
"Q8BHL6","mmu03460"
"Q9JL70","mmu03460"
"Q5XJY6","mmu03460"
"P50652","mmu03460"
"Q80V62","mmu03460"
"E9Q5Z5","mmu03460"
"Q9EQR6","mmu03460"
"Q8K368","mmu03460"
"Q9CR14","mmu03460 mmu04120"
"Q8BGE5","mmu03460"
